Seller_ID,Seller_Name,Email,Phone,Join_Date,Address_ID
1,Divan-Ravel,araja@narasimhan.net,+91-8557461973,2022-02-12,4663
2,Nagy-Sankaran,forum57@wadhwa.net,+91-4125596468,2021-11-30,20
3,Kata LLC,ijayakrishnamurthy@tella.com,+91-4845569003,2023-02-02,6897
4,Bhargava-Biswas,bhallaindira@garg.com,+91-4534937454,2022-05-19,3521
5,Walia-Cherian,nramaswamy@mital.com,+91-9919812804,2021-09-24,6803
6,"Raju, Mangat and Ratta",zmajumdar@khurana.com,+91-0313794351,2021-10-25,1310
7,"Choudhry, Dugar and Bhavsar",pranav96@sodhi.com,+91-7559617544,2021-09-07,113
8,Babu and Sons,neel12@vaidya-seth.info,+91-9351751236,2022-10-06,6904
9,Kanda-Mand,ikbal66@venkatesh.com,+91-3096677548,2021-07-17,328
10,"Saran, Parmar and Loyal",lsarraf@deep.com,+91-8648331207,2024-12-11,2008
11,Modi-Boase,ekapadsood@chakrabarti.net,+91-5591482485,2021-10-19,5789
12,Parekh PLC,benjamin50@dhingra-chadha.biz,+91-0817205886,2022-08-13,3317
13,"Dutta, Char and Choudhry",jbrahmbhatt@bassi-menon.biz,+91-0554747640,2024-05-25,1564
14,Joshi-Rao,gaurimadan@bail-dua.com,+91-6087753446,2022-04-11,6594
15,"Golla, Kara and Kumar",wakeeta02@shetty.com,+91-3054964154,2024-01-02,4165
16,Edwin-Dhawan,chavvi64@tank.org,+91-0788052535,2021-09-26,5427
17,Rau Group,wsood@saha-lad.com,+91-2888179585,2023-01-08,2924
18,Kata and Sons,deepamalhotra@kannan-bera.com,+91-4964415099,2025-01-10,5197
19,Shan-Rajagopalan,meghanahalder@choudhury.com,+91-9186373854,2022-11-04,6939
20,Purohit Inc,ishitanarayanan@kant.biz,+91-7435273130,2024-08-26,6504
21,"Pingle, Ahluwalia and Bhat",rsachdev@sarraf-sawhney.info,+91-6478161956,2025-04-19,6633
22,Bansal-Chaudhary,kamble@cheema.com,+91-4987881403,2024-01-19,3306
23,Sandhu-Agarwal,omdutt@varkey.info,+91-4343250222,2023-11-22,6517
24,Wagle-Bora,tailorarya@lad-agrawal.com,+91-9319129100,2022-12-19,2150
25,Pandit and Sons,pahal17@nagy.com,+91-0951195852,2021-12-23,3373
26,Kadakia PLC,kandafaras@kumer.com,+91-9055733282,2023-09-17,5972
27,Bhakta-Rai,qchawla@swaminathan.com,+91-6111493093,2023-06-17,582
28,Merchant Group,gamble@sarma-gara.info,+91-9988507395,2024-03-29,2317
29,Borah-Garde,ucchal04@dhar-dalal.com,+91-8267410929,2023-09-27,4700
30,"Kothari, Pandya and Raghavan",nakulsheth@magar-tella.com,+91-2316218982,2023-01-13,3669
31,Dhaliwal-Srinivasan,arjun21@chhabra.com,+91-5677460547,2022-09-05,2190
32,"Narain, Basak and Narang",dashnandini@yogi-chadha.com,+91-4377040097,2021-10-31,2581
33,Date PLC,nisha68@palla.com,+91-7901780594,2023-07-18,4875
34,Shah Ltd,prisharamachandran@raj.com,+91-1009111296,2025-02-12,3979
35,"Bhandari, Kota and Varughese",ektamand@bala.org,+91-2345132928,2021-09-18,5290
36,Kalita Ltd,hariayushman@pant.org,+91-3207904552,2023-12-23,4803
37,"Vaidya, Sood and Grover",zkale@saran-wali.com,+91-0215809013,2021-10-25,1712
38,Sundaram-Srivastava,upasna93@bhatnagar-kapoor.info,+91-1322972093,2022-10-15,856
39,Vohra Group,spathak@shere.com,+91-7448992648,2024-03-23,4283
40,Munshi Group,andrew04@konda.com,+91-1868858984,2024-05-21,1783
41,Chowdhury-Handa,acharyadev@apte-sachar.com,+91-6783874589,2023-12-21,4810
42,Parikh LLC,gabajairaj@doctor-varkey.info,+91-5396918759,2023-11-09,5727
43,Suresh and Sons,kchada@choudhary.org,+91-4688296413,2023-08-08,6309
44,"Garg, Barad and Divan",agrawalavi@balasubramanian-desai.biz,+91-5777926948,2022-12-12,4676
45,"Wali, Madan and Dutta",kraja@bath-rama.com,+91-1344879400,2023-05-29,5566
46,"Lall, Sethi and Choudhury",tdora@pandit.com,+91-4388125873,2023-07-16,3969
47,Ramesh Group,ekbalchakrabarti@shenoy.org,+91-7841884578,2024-04-29,6133
48,Mani Group,mitali00@jha.com,+91-4064800593,2022-06-28,4705
49,Chaudhari-Panchal,hredhaan42@minhas.com,+91-2071635857,2022-07-24,6871
50,Jani-Shankar,vinayaoak@srinivasan-baria.com,+91-3713947332,2024-07-22,4438
51,Menon Inc,gdalal@lata.com,+91-6159194672,2024-05-17,5801
52,Kaul Ltd,kaijhaveri@acharya-bhatti.com,+91-0617610455,2023-02-14,2276
53,"Mangal, Goswami and Bumb",tellatarak@batta.com,+91-6820877605,2023-03-02,6899
54,Sama-Madan,saanvi33@palla.com,+91-8667323947,2022-05-02,4901
55,"Ray, Balakrishnan and Devi",poak@swaminathan.com,+91-5661247579,2024-09-25,6469
56,Vasa Group,patellogan@chopra-agrawal.com,+91-5919933734,2023-01-15,634
57,Vyas PLC,balsiya@batra.com,+91-1310685089,2022-10-21,2111
58,"Dave, Modi and Mitra",hbail@zacharia.com,+91-2399118664,2023-06-26,4905
59,Kapur and Sons,kbora@patla.com,+91-9828336670,2024-02-11,5785
60,"Kohli, Dass and Ganesh",lhari@nagi.net,+91-7360538749,2023-08-08,4146
61,Ramaswamy-Prabhu,charvisaxena@jayaraman.biz,+91-2802136521,2023-10-28,3501
62,"Suresh, Garg and Srinivasan",harinakshigoswami@dasgupta-chaudhry.biz,+91-4601982000,2023-05-30,282
63,"Parekh, Jhaveri and Zacharia",barkha11@nagy.com,+91-1735237371,2024-04-21,4828
64,Acharya and Sons,subramaniamranveer@sule-issac.com,+91-6590419397,2021-09-06,6063
65,"Agate, Dar and Sant",amurthy@magar-koshy.org,+91-3309990756,2024-02-11,5081
66,Grewal Ltd,ekaran@agate.biz,+91-4859391673,2025-02-20,2581
67,"Saini, Sur and Chacko",xhegde@dada.net,+91-9073005859,2023-10-18,6668
68,Bhandari-Oommen,vedhikacheema@basak.net,+91-4119090884,2025-04-05,2569
69,Tella-Dash,aachal47@ramesh.org,+91-8803879661,2021-10-04,117
70,Gera-Pandya,imann@walia-singhal.info,+91-0468034633,2024-03-15,2311
71,Yadav PLC,hemangini30@venkataraman.info,+91-5854772779,2022-01-04,4893
72,"Sandhu, Bhagat and Hari",padmanabhankrish@thaker-patla.com,+91-9725404498,2025-01-22,5753
